Metric,Value
accuracy,0.1346
precision_macro,0.0572
recall_macro,0.1333
f1_macro,0.0779
precision_micro,0.1346
recall_micro,0.1346
f1_micro,0.1346
precision_weighted,0.0643
recall_weighted,0.1346
f1_weighted,0.0841

Class,Accuracy,Precision,Recall,F1-Score
stand,0.0000,0.0000,0.0000,0.0000
walk,0.0000,0.0000,0.0000,0.0000
run,0.6000,0.2500,0.6000,0.3529
jump,0.0000,0.0000,0.0000,0.0000
sit,0.2000,0.1538,0.2000,0.1739
squat,0.0000,0.0000,0.0000,0.0000
kick,0.4000,0.1111,0.4000,0.1739
punch,0.0000,0.0000,0.0000,0.0000
wave,0.0000,0.0000,0.0000,0.0000
